QUANTIFIER,REAL_PREVS,PRED_PREVS,BATCH_SIZE,ae,nae
PCC,[0.22222222 0.77777778],[0.19 0.81],70,0.0322195339006619,0.020713174691148348
EMQ,[0.22222222 0.77777778],[0.29871952 0.70128048],70,0.07649091715974718,0.04917419768705753
FM,[0.22222222 0.77777778],[0.45085103 0.54914897],70,0.22860973687884742,0.1469677814293815
GAC,[0.22222222 0.77777778],[0.4453681 0.5546319],70,0.22312725979510473,0.14344322685556604
GPAC,[0.22222222 0.77777778],[0.25116924 0.74883076],70,0.028944601094548245,0.018607798011152015
PWK,[0.22222222 0.77777778],[0.02857143 0.97142857],70,0.1936346372355049,0.1244831188335023
ACC,[0.22222222 0.77777778],[0.48443898 0.51556102],70,0.26219487922590534,0.16855887342365158
MAX,[0.22222222 0.77777778],[0.17933745 0.82066255],70,0.04288118971075992,0.027567300513462626
MS,[0.22222222 0.77777778],[0. 1.],70,0.22220368207353017,0.14284948062860917
MS2,[0.22222222 0.77777778],[0.00807638 0.99192362],70,0.21412797415662044,0.1376577994157967
PACC,[0.22222222 0.77777778],[1. 0.],70,0.7777128872573558,0.4999731822001322
T50,[0.22222222 0.77777778],[0.19196124 0.80803876],70,0.030258460793196246,0.019452447270873197
